"Pass_number","Team","Play_type"
249,"Team A","Pass"
250,"Team A","Pass"
251,"Team A","Run"
252,"Team A","Pass"
253,"Team A","Pass"
254,"Team A","Pass"
255,"Team A","Pass"
256,"Team A","Pass"
257,"Team A","Run"
258,"Team A","Run"
259,"Team A","Pass"
260,"Team A","Run"
261,"Team A","Run"
262,"Team A","Pass"
263,"Team A","Run"
264,"Team A","Pass"
265,"Team A","Run"
266,"Team A","Run"
267,"Team A","Run"
268,"Team A","Run"
269,"Team A","Run"
270,"Team A","Run"
271,"Team A","Run"
272,"Team A","Pass"
273,"Team A","Run"
274,"Team A","Run"
275,"Team A","Pass"
276,"Team A","Run"
277,"Team A","Pass"
278,"Team A","Run"
279,"Team A","Run"
280,"Team A","Run"
281,"Team A","Run"
282,"Team A","Run"
283,"Team A","Run"
284,"Team A","Pass"
285,"Team A","Pass"
286,"Team A","Run"
287,"Team A","Run"
288,"Team A","Run"
289,"Team A","Run"
290,"Team A","Run"
291,"Team A","Run"
292,"Team A","Run"
293,"Team A","Run"
294,"Team A","Run"
295,"Team A","Run"
296,"Team A","Pass"
297,"Team A","Run"
298,"Team A","Run"
299,"Team A","Pass"
300,"Team A","Run"
