"Minutes","Precinct"
10.3,"Precinct 12"
3.3,"Precinct 12"
20.3,"Precinct 12"
16.6,"Precinct 12"
10.7,"Precinct 12"
18.7,"Precinct 12"
3.4,"Precinct 12"
10.2,"Precinct 12"
8.3,"Precinct 12"
12.5,"Precinct 12"
13.7,"Precinct 12"
18.1,"Precinct 12"
22.1,"Precinct 12"
16.8,"Precinct 12"
15,"Precinct 12"
12.6,"Precinct 12"
