Date,Series,Value
2024-09-14,Article Count,1250
2024-09-14,Total Monitored Articles,152195
2024-09-15,Article Count,1275
2024-09-15,Total Monitored Articles,124319
2024-09-16,Article Count,1505
2024-09-16,Total Monitored Articles,132386
2024-09-17,Article Count,1551
2024-09-17,Total Monitored Articles,163393
2024-09-18,Article Count,2519
2024-09-18,Total Monitored Articles,221249
2024-09-19,Article Count,2014
2024-09-19,Total Monitored Articles,188977
2024-09-20,Article Count,2249
2024-09-20,Total Monitored Articles,224012
2024-09-21,Article Count,1480
2024-09-21,Total Monitored Articles,148285
2024-09-22,Article Count,1128
2024-09-22,Total Monitored Articles,146046
2024-09-23,Article Count,1713
2024-09-23,Total Monitored Articles,195587
2024-09-24,Article Count,1953
2024-09-24,Total Monitored Articles,206128
2024-09-25,Article Count,1686
2024-09-25,Total Monitored Articles,192030
2024-09-26,Article Count,1337
2024-09-26,Total Monitored Articles,167629
2024-09-27,Article Count,1445
2024-09-27,Total Monitored Articles,158144
2024-09-28,Article Count,1370
2024-09-28,Total Monitored Articles,145281
2024-09-29,Article Count,1099
2024-09-29,Total Monitored Articles,151914
2024-09-30,Article Count,1719
2024-09-30,Total Monitored Articles,173071
2024-10-01,Article Count,1904
2024-10-01,Total Monitored Articles,175072
2024-10-02,Article Count,2853
2024-10-02,Total Monitored Articles,179072
2024-10-03,Article Count,1565
2024-10-03,Total Monitored Articles,166406
2024-10-04,Article Count,2045
2024-10-04,Total Monitored Articles,195619
2024-10-05,Article Count,1322
2024-10-05,Total Monitored Articles,141577
2024-10-06,Article Count,801
2024-10-06,Total Monitored Articles,102314
2024-10-07,Article Count,1353
2024-10-07,Total Monitored Articles,177340
2024-10-08,Article Count,1593
2024-10-08,Total Monitored Articles,175297
2024-10-09,Article Count,1110
2024-10-09,Total Monitored Articles,132262
2024-10-10,Article Count,1504
2024-10-10,Total Monitored Articles,182778
2024-10-11,Article Count,1912
2024-10-11,Total Monitored Articles,169743
2024-10-12,Article Count,1477
2024-10-12,Total Monitored Articles,145992
2024-10-13,Article Count,1315
2024-10-13,Total Monitored Articles,138674
2024-10-14,Article Count,1554
2024-10-14,Total Monitored Articles,148714
2024-10-15,Article Count,1834
2024-10-15,Total Monitored Articles,194160
2024-10-16,Article Count,2871
2024-10-16,Total Monitored Articles,196216
2024-10-17,Article Count,2153
2024-10-17,Total Monitored Articles,199972
2024-10-18,Article Count,1577
2024-10-18,Total Monitored Articles,138084
2024-10-19,Article Count,1060
2024-10-19,Total Monitored Articles,103200
2024-10-20,Article Count,1204
2024-10-20,Total Monitored Articles,118865
2024-10-21,Article Count,1992
2024-10-21,Total Monitored Articles,173511
2024-10-22,Article Count,2265
2024-10-22,Total Monitored Articles,166549
2024-10-23,Article Count,2751
2024-10-23,Total Monitored Articles,189632
2024-10-24,Article Count,1902
2024-10-24,Total Monitored Articles,170851
2024-10-25,Article Count,2893
2024-10-25,Total Monitored Articles,175678
2024-10-26,Article Count,1559
2024-10-26,Total Monitored Articles,123994
2024-10-27,Article Count,1683
2024-10-27,Total Monitored Articles,131380
2024-10-28,Article Count,2748
2024-10-28,Total Monitored Articles,187408
2024-10-29,Article Count,2919
2024-10-29,Total Monitored Articles,178315
2024-10-30,Article Count,2188
2024-10-30,Total Monitored Articles,140337
2024-10-31,Article Count,2624
2024-10-31,Total Monitored Articles,179010
2024-11-01,Article Count,2902
2024-11-01,Total Monitored Articles,166175
2024-11-02,Article Count,1864
2024-11-02,Total Monitored Articles,103170
2024-11-03,Article Count,2663
2024-11-03,Total Monitored Articles,147260
2024-11-04,Article Count,3245
2024-11-04,Total Monitored Articles,182741
2024-11-05,Article Count,4811
2024-11-05,Total Monitored Articles,196357
2024-11-06,Article Count,6046
2024-11-06,Total Monitored Articles,160310
