"DormID","RoomTemp","Range"
118,69.4,"In range"
119,63.3,"Out of range"
120,67.1,"In range"
121,60.3,"Out of range"
122,61.6,"Out of range"
123,61.3,"Out of range"
124,55.2,"Out of range"
125,59.6,"Out of range"
126,60,"Out of range"
127,57.3,"Out of range"
128,67.5,"In range"
129,63.7,"Out of range"
130,61.1,"Out of range"
131,60.9,"Out of range"
132,59.3,"Out of range"
133,54.3,"Out of range"
134,61.3,"Out of range"
135,67.9,"In range"
136,65,"Out of range"
137,59.9,"Out of range"
138,66.1,"Out of range"
139,57.4,"Out of range"
140,70.3,"In range"
141,69.4,"In range"
142,63.6,"Out of range"
143,63.7,"Out of range"
144,57.8,"Out of range"
145,67.3,"In range"
146,61.4,"Out of range"
147,62.8,"Out of range"
148,56.4,"Out of range"
149,60.7,"Out of range"
150,59.7,"Out of range"
151,59.9,"Out of range"
152,61.5,"Out of range"
153,65.2,"Out of range"
154,69.6,"In range"
155,62.6,"Out of range"
156,63.7,"Out of range"
157,63.3,"Out of range"
158,64.9,"Out of range"
159,58,"Out of range"
160,62.4,"Out of range"
161,60.3,"Out of range"
162,60.8,"Out of range"
163,64.5,"Out of range"
164,61.6,"Out of range"
165,61.9,"Out of range"
166,59.7,"Out of range"
167,66.2,"Out of range"
168,61.1,"Out of range"
169,62.9,"Out of range"
170,60.5,"Out of range"
171,54.6,"Out of range"
172,64.2,"Out of range"
173,58.6,"Out of range"
174,63.2,"Out of range"
175,67.9,"In range"
176,64.7,"Out of range"
177,64.7,"Out of range"
178,67,"In range"
179,62.9,"Out of range"
180,63.9,"Out of range"
181,65,"Out of range"
182,61.9,"Out of range"
183,56.2,"Out of range"
184,64.3,"Out of range"
185,66.3,"Out of range"
186,62.6,"Out of range"
187,57.4,"Out of range"
188,65.7,"Out of range"
189,55.8,"Out of range"
190,61.2,"Out of range"
191,61.7,"Out of range"
192,56.9,"Out of range"
193,63.9,"Out of range"
194,64.6,"Out of range"
195,61.4,"Out of range"
196,58.1,"Out of range"
197,63.1,"Out of range"
198,64,"Out of range"
199,63.1,"Out of range"
200,70.3,"In range"
201,65.8,"Out of range"
202,54.9,"Out of range"
203,53.4,"Out of range"
204,60.2,"Out of range"
205,56.5,"Out of range"
206,57.5,"Out of range"
207,70.2,"In range"
208,62.2,"Out of range"
209,58.5,"Out of range"
210,61.1,"Out of range"
211,57.3,"Out of range"
212,58.8,"Out of range"
213,56.7,"Out of range"
214,68.5,"In range"
215,59.9,"Out of range"
216,65.4,"Out of range"
217,63.4,"Out of range"
218,68.8,"In range"
219,60.5,"Out of range"
220,62.7,"Out of range"
221,64.1,"Out of range"
222,63,"Out of range"
223,64.3,"Out of range"
224,59.8,"Out of range"
225,58.2,"Out of range"
226,65.8,"Out of range"
227,58.2,"Out of range"
228,57.4,"Out of range"
229,64.6,"Out of range"
230,67.2,"In range"
231,64.6,"Out of range"
232,64.9,"Out of range"
233,63.1,"Out of range"
234,64.7,"Out of range"
235,60.5,"Out of range"
236,66.1,"Out of range"
237,61.7,"Out of range"
238,64.5,"Out of range"
239,55.3,"Out of range"
240,66.2,"Out of range"
241,62.8,"Out of range"
242,66.7,"Out of range"
243,65,"Out of range"
244,60.2,"Out of range"
245,60,"Out of range"
246,68.4,"In range"
247,72.6,"In range"
248,61.2,"Out of range"
249,61.8,"Out of range"
250,68.5,"In range"
251,59.2,"Out of range"
252,62.3,"Out of range"
253,56.9,"Out of range"
254,60,"Out of range"
255,59.9,"Out of range"
256,66.6,"Out of range"
257,59.9,"Out of range"
258,62.7,"Out of range"
259,76.2,"Out of range"
260,65.6,"Out of range"
261,68.4,"In range"
262,63.5,"Out of range"
263,59.1,"Out of range"
264,60.9,"Out of range"
265,68.2,"In range"
266,60.9,"Out of range"
267,63.5,"Out of range"
268,60,"Out of range"
269,59.3,"Out of range"
270,64.1,"Out of range"
271,69.7,"In range"
272,59.5,"Out of range"
273,61,"Out of range"
274,61.8,"Out of range"
275,68.7,"In range"
276,56.5,"Out of range"
277,60.4,"Out of range"
278,63.3,"Out of range"
279,55.9,"Out of range"
280,61.9,"Out of range"
281,60.8,"Out of range"
282,64.3,"Out of range"
283,57.7,"Out of range"
284,61.1,"Out of range"
285,70.2,"In range"
286,60.5,"Out of range"
287,48.3,"Out of range"
288,66.2,"Out of range"
289,64,"Out of range"
290,62.2,"Out of range"
291,53.5,"Out of range"
292,65.3,"Out of range"
293,68.1,"In range"
294,65,"Out of range"
295,57.7,"Out of range"
296,66.9,"Out of range"
297,60.1,"Out of range"
298,65.4,"Out of range"
299,55.9,"Out of range"
300,63.3,"Out of range"
301,64.6,"Out of range"
302,66.6,"Out of range"
303,69.4,"In range"
304,59.3,"Out of range"
305,61.5,"Out of range"
306,68.9,"In range"
307,60,"Out of range"
308,60.4,"Out of range"
309,61.8,"Out of range"
310,61.1,"Out of range"
311,67,"In range"
312,64.4,"Out of range"
313,58.4,"Out of range"
314,66.2,"Out of range"
315,60.3,"Out of range"
316,62.4,"Out of range"
317,67.5,"In range"
318,60.6,"Out of range"
319,67.3,"In range"
320,66,"Out of range"
321,62.9,"Out of range"
322,64.4,"Out of range"
323,64.3,"Out of range"
324,61.2,"Out of range"
325,58.2,"Out of range"
326,56.4,"Out of range"
327,61.1,"Out of range"
328,59.9,"Out of range"
329,65.6,"Out of range"
330,65.8,"Out of range"
331,59.8,"Out of range"
332,61.6,"Out of range"
333,57.2,"Out of range"
334,64.6,"Out of range"
335,65.6,"Out of range"
336,60.8,"Out of range"
337,61.8,"Out of range"
338,67.4,"In range"
339,59,"Out of range"
340,60.5,"Out of range"
341,60.9,"Out of range"
342,58.9,"Out of range"
343,63,"Out of range"
344,60.5,"Out of range"
345,68.5,"In range"
346,68.4,"In range"
347,62.9,"Out of range"
348,65.3,"Out of range"
349,68,"In range"
350,63.1,"Out of range"
351,64,"Out of range"
352,67.2,"In range"
353,66,"Out of range"
354,60.6,"Out of range"
355,64.9,"Out of range"
356,65.8,"Out of range"
357,61.9,"Out of range"
358,62.6,"Out of range"
359,63.4,"Out of range"
360,58.6,"Out of range"
361,65.5,"Out of range"
362,68,"In range"
363,67.9,"In range"
364,65.8,"Out of range"
365,66.3,"Out of range"
366,61.9,"Out of range"
367,66.6,"Out of range"
368,64.6,"Out of range"
369,53.2,"Out of range"
370,69.8,"In range"
371,61.6,"Out of range"
372,61.4,"Out of range"
373,62.9,"Out of range"
374,63.2,"Out of range"
375,59.7,"Out of range"
376,64.5,"Out of range"
377,64,"Out of range"
378,61.8,"Out of range"
379,63.9,"Out of range"
380,65.4,"Out of range"
381,68.5,"In range"
382,57.7,"Out of range"
383,61.4,"Out of range"
384,70,"In range"
385,63.4,"Out of range"
386,66.2,"Out of range"
387,64.1,"Out of range"
388,59.8,"Out of range"
389,66,"Out of range"
390,67.9,"In range"
391,62.7,"Out of range"
392,56.6,"Out of range"
393,54.9,"Out of range"
394,60.2,"Out of range"
395,70.8,"In range"
396,58.8,"Out of range"
397,58.9,"Out of range"
398,60.3,"Out of range"
399,62.9,"Out of range"
400,68.2,"In range"
401,61.4,"Out of range"
402,70.6,"In range"
403,66,"Out of range"
404,64.2,"Out of range"
405,64.6,"Out of range"
406,64.8,"Out of range"
407,61.2,"Out of range"
408,60,"Out of range"
409,60.9,"Out of range"
410,59.8,"Out of range"
411,68.5,"In range"
412,62,"Out of range"
413,65.3,"Out of range"
414,56.6,"Out of range"
415,63.8,"Out of range"
416,67,"In range"
417,65.1,"Out of range"
418,59,"Out of range"
419,66.4,"Out of range"
420,60.8,"Out of range"
421,65.8,"Out of range"
422,65.3,"Out of range"
423,70.3,"In range"
424,66.4,"Out of range"
425,57.2,"Out of range"
426,61.8,"Out of range"
427,62.4,"Out of range"
428,58.6,"Out of range"
429,64,"Out of range"
430,72.9,"In range"
431,62.7,"Out of range"
432,63.5,"Out of range"
433,65.4,"Out of range"
434,62.8,"Out of range"
435,62,"Out of range"
436,63.3,"Out of range"
437,63.5,"Out of range"
438,61.3,"Out of range"
439,63.3,"Out of range"
440,65.6,"Out of range"
441,63.6,"Out of range"
442,59.2,"Out of range"
443,63.5,"Out of range"
444,63.3,"Out of range"
445,66.2,"Out of range"
446,65.6,"Out of range"
447,60.3,"Out of range"
448,69.2,"In range"
449,64.7,"Out of range"
450,64.7,"Out of range"
451,60.1,"Out of range"
452,60.1,"Out of range"
453,61.5,"Out of range"
454,59.6,"Out of range"
455,61.9,"Out of range"
456,65.9,"Out of range"
457,67.7,"In range"
458,63.6,"Out of range"
459,57.1,"Out of range"
460,61.1,"Out of range"
461,55.1,"Out of range"
462,62.9,"Out of range"
463,62.5,"Out of range"
464,61.2,"Out of range"
465,62.5,"Out of range"
466,73.8,"Out of range"
467,65.4,"Out of range"
468,67.4,"In range"
469,59.3,"Out of range"
470,54.6,"Out of range"
471,65.5,"Out of range"
472,69.6,"In range"
473,59.2,"Out of range"
474,59.1,"Out of range"
475,56.9,"Out of range"
476,61,"Out of range"
477,70.4,"In range"
478,63.2,"Out of range"
479,64.4,"Out of range"
480,60.1,"Out of range"
481,64.4,"Out of range"
482,63.8,"Out of range"
483,54.5,"Out of range"
484,71.6,"In range"
485,57.7,"Out of range"
486,63.5,"Out of range"
487,62,"Out of range"
488,67.1,"In range"
489,63.5,"Out of range"
490,59.6,"Out of range"
491,61.9,"Out of range"
492,62.1,"Out of range"
493,65.6,"Out of range"
494,63.5,"Out of range"
495,65.4,"Out of range"
496,66.8,"Out of range"
497,65.1,"Out of range"
498,61.6,"Out of range"
499,61.3,"Out of range"
500,67.1,"In range"
501,67.1,"In range"
502,55.9,"Out of range"
503,62.4,"Out of range"
504,60.8,"Out of range"
505,68,"In range"
506,61.7,"Out of range"
507,65.1,"Out of range"
508,58.8,"Out of range"
509,61.5,"Out of range"
510,66.5,"Out of range"
511,68.2,"In range"
512,59.2,"Out of range"
513,65.1,"Out of range"
514,60.2,"Out of range"
515,54.7,"Out of range"
516,70.7,"In range"
517,67.2,"In range"
518,61.5,"Out of range"
519,59.4,"Out of range"
520,65.6,"Out of range"
521,62.2,"Out of range"
522,64.3,"Out of range"
523,63.6,"Out of range"
524,60.3,"Out of range"
525,63.2,"Out of range"
