Name,State,District,Dem,Rep,Unallocated
"Sanchez, Linda",California,38,0,0,1
"Takano, Mark",California,39,0,0,1
"Kim, Young",California,40,0,0,1
"Calvert, Ken",California,41,0,0,1
"Garcia, Robert",California,42,0,0,1
"Waters, Maxine",California,43,0,0,1
"Barragan, Nanette",California,44,0,0,1
"Steel, Michelle",California,45,0,0,1
"Correa, J.",California,46,0,0,1
"Porter, Katie",California,47,0,0,1
"Issa, Darrell",California,48,0,0,1
"Levin, Mike",California,49,0,0,1
"Peters, Scott",California,50,0,0,1
"Jacobs, Sara",California,51,0,0,1
"Vargas, Juan",California,52,0,0,1
"DeGette, Diana",Colorado,1,0,0,1
"Neguse, Joe",Colorado,2,0,0,1
"Boebert, Lauren",Colorado,3,0,0,1
"Lopez, Greg",Colorado,4,0,0,1
"Lamborn, Doug",Colorado,5,0,0,1
"Crow, Jason",Colorado,6,0,0,1
"Pettersen, Brittany",Colorado,7,0,0,1
"Caraveo, Yadira",Colorado,8,0,0,1
"Larson, John",Connecticut,1,0,0,1
"Courtney, Joe",Connecticut,2,0,0,1
"DeLauro, Rosa",Connecticut,3,0,0,1
"Himes, James",Connecticut,4,0,0,1
"Hayes, Jahana",Connecticut,5,0,0,1
"Blunt Rochester, Lisa",Delaware,0,0,0,1
"Gaetz, Matt",Florida,1,0,0,1
"Dunn, Neal",Florida,2,0,0,1
"Cammack, Kat",Florida,3,0,0,1
"Bean, Aaron",Florida,4,0,0,1
"Rutherford, John",Florida,5,0,0,1
"Waltz, Michael",Florida,6,0,0,1
"Mills, Cory",Florida,7,0,0,1
"Posey, Bill",Florida,8,0,0,1
"Soto, Darren",Florida,9,0,0,1
"Frost, Maxwell",Florida,10,0,0,1
"Webster, Daniel",Florida,11,0,0,1
"Bilirakis, Gus",Florida,12,0,0,1
"Luna, Anna Paulina",Florida,13,0,0,1
"Castor, Kathy",Florida,14,0,0,1
"Lee, Laurel",Florida,15,0,0,1
"Buchanan, Vern",Florida,16,0,0,1
"Steube, W.",Florida,17,0,0,1
"Franklin, Scott",Florida,18,0,0,1
"Donalds, Byron",Florida,19,0,0,1
"Cherfilus-McCormick, Sheila",Florida,20,0,0,1
"Mast, Brian",Florida,21,0,0,1
"Frankel, Lois",Florida,22,0,0,1
"Moskowitz, Jared",Florida,23,0,0,1
"Wilson, Frederica",Florida,24,0,0,1
"Wasserman Schultz, Debbie",Florida,25,0,0,1
"Diaz-Balart, Mario",Florida,26,0,0,1
"Salazar, Maria",Florida,27,0,0,1
"Gimenez, Carlos",Florida,28,0,0,1
"Carter, Earl",Georgia,1,0,0,1
"Bishop, Sanford",Georgia,2,0,0,1
"Ferguson, A.",Georgia,3,0,0,1
"Johnson, Henry",Georgia,4,0,0,1
"Williams, Nikema",Georgia,5,0,0,1
"McCormick, Richard",Georgia,6,0,0,1
"McBath, Lucy",Georgia,7,0,0,1
"Scott, Austin",Georgia,8,0,0,1
"Clyde, Andrew",Georgia,9,0,0,1
"Collins, Mike",Georgia,10,0,0,1
"Loudermilk, Barry",Georgia,11,0,0,1
"Allen, Rick",Georgia,12,0,0,1
"Scott, David",Georgia,13,0,0,1
"Greene, Marjorie",Georgia,14,0,0,1
"Case, Ed",Hawaii,1,0,0,1
"Tokuda, Jill",Hawaii,2,0,0,1
"Fulcher, Russ",Idaho,1,0,0,1
"Simpson, Michael",Idaho,2,0,0,1
"Jackson, Jonathan",Illinois,1,0,0,1
"Kelly, Robin",Illinois,2,0,0,1
"Ramirez, Delia",Illinois,3,0,0,1
"Garcia, Jesus",Illinois,4,0,0,1
"Quigley, Mike",Illinois,5,0,0,1
"Casten, Sean",Illinois,6,0,0,1
"Davis, Danny",Illinois,7,0,0,1
"Krishnamoorthi, Raja",Illinois,8,0,0,1
"Schakowsky, Janice",Illinois,9,0,0,1
"Schneider, Bradley",Illinois,10,0,0,1
"Foster, Bill",Illinois,11,0,0,1
"Bost, Mike",Illinois,12,0,0,1
"Budzinski, Nikki",Illinois,13,0,0,1
"Underwood, Lauren",Illinois,14,0,0,1
"Miller, Mary",Illinois,15,0,0,1
"LaHood, Darin",Illinois,16,0,0,1
"Sorensen, Eric",Illinois,17,0,0,1
"Mrvan, Frank",Indiana,1,0,0,1
"Yakym, Rudy",Indiana,2,0,0,1
"Banks, Jim",Indiana,3,0,0,1
"Baird, James",Indiana,4,0,0,1
"Spartz, Victoria",Indiana,5,0,0,1
"Pence, Greg",Indiana,6,0,0,1
"Carson, Andre",Indiana,7,0,0,1
"Bucshon, Larry",Indiana,8,0,0,1
"Houchin, Erin",Indiana,9,0,0,1
"Miller-Meeks, Mariannette",Iowa,1,0,0,1
"Hinson, Ashley",Iowa,2,0,0,1
"Nunn, Zachary",Iowa,3,0,0,1
"Feenstra, Randy",Iowa,4,0,0,1
"Mann, Tracey",Kansas,1,0,0,1
"LaTurner, Jake",Kansas,2,0,0,1
"Davids, Sharice",Kansas,3,0,0,1
"Estes, Ron",Kansas,4,0,0,1
"Comer, James",Kentucky,1,0,0,1
"Guthrie, Brett",Kentucky,2,0,0,1
"McGarvey, Morgan",Kentucky,3,0,0,1
"Massie, Thomas",Kentucky,4,0,0,1
"Rogers, Harold",Kentucky,5,0,0,1
"Barr, Andy",Kentucky,6,0,0,1
"Scalise, Steve",Louisiana,1,0,0,1
"Carter, Troy",Louisiana,2,0,0,1
"Higgins, Clay",Louisiana,3,0,0,1
"Johnson, Mike",Louisiana,4,0,0,1
"Letlow, Julia",Louisiana,5,0,0,1
"Graves, Garret",Louisiana,6,0,0,1
"Pingree, Chellie",Maine,1,0,0,1
"Golden, Jared",Maine,2,0,0,1
"Harris, Andy",Maryland,1,0,0,1
"Ruppersberger, C.",Maryland,2,0,0,1
"Sarbanes, John",Maryland,3,0,0,1
"Ivey, Glenn",Maryland,4,0,0,1
"Hoyer, Steny",Maryland,5,0,0,1
"Trone, David",Maryland,6,0,0,1
"Mfume, Kweisi",Maryland,7,0,0,1
"Raskin, Jamie",Maryland,8,0,0,1
"Neal, Richard",Massachusetts,1,0,0,1
"McGovern, James",Massachusetts,2,0,0,1
"Trahan, Lori",Massachusetts,3,0,0,1
"Auchincloss, Jake",Massachusetts,4,0,0,1
"Clark, Katherine",Massachusetts,5,0,0,1
"Moulton, Seth",Massachusetts,6,0,0,1
"Pressley, Ayanna",Massachusetts,7,0,0,1
"Lynch, Stephen",Massachusetts,8,0,0,1
"Keating, William",Massachusetts,9,0,0,1
"Bergman, Jack",Michigan,1,0,0,1
"Moolenaar, John",Michigan,2,0,0,1
"Scholten, Hillary",Michigan,3,0,0,1
"Huizenga, Bill",Michigan,4,0,0,1
"Walberg, Tim",Michigan,5,0,0,1
"Dingell, Debbie",Michigan,6,0,0,1
"Slotkin, Elissa",Michigan,7,0,0,1
"Kildee, Daniel",Michigan,8,0,0,1
"McClain, Lisa",Michigan,9,0,0,1
"James, John",Michigan,10,0,0,1
"Stevens, Haley",Michigan,11,0,0,1
"Tlaib, Rashida",Michigan,12,0,0,1
"Thanedar, Shri",Michigan,13,0,0,1
"Finstad, Brad",Minnesota,1,0,0,1
"Craig, Angie",Minnesota,2,0,0,1
"Phillips, Dean",Minnesota,3,0,0,1
"McCollum, Betty",Minnesota,4,0,0,1
"Omar, Ilhan",Minnesota,5,0,0,1
"Emmer, Tom",Minnesota,6,0,0,1
"Fischbach, Michelle",Minnesota,7,0,0,1
"Stauber, Pete",Minnesota,8,0,0,1
"Kelly, Trent",Mississippi,1,0,0,1
"Thompson, Bennie",Mississippi,2,0,0,1
"Guest, Michael",Mississippi,3,0,0,1
"Ezell, Mike",Mississippi,4,0,0,1
"Bush, Cori",Missouri,1,0,0,1
"Wagner, Ann",Missouri,2,0,0,1
"Luetkemeyer, Blaine",Missouri,3,0,0,1
"Alford, Mark",Missouri,4,0,0,1
"Cleaver, Emanuel",Missouri,5,0,0,1
"Graves, Sam",Missouri,6,0,0,1
"Burlison, Eric",Missouri,7,0,0,1
"Smith, Jason",Missouri,8,0,0,1
"Zinke, Ryan",Montana,1,0,0,1
"Rosendale, Matthew",Montana,2,0,0,1
"Flood, Mike",Nebraska,1,0,0,1
"Bacon, Don",Nebraska,2,0,0,1
"Smith, Adrian",Nebraska,3,0,0,1
"Titus, Dina",Nevada,1,0,0,1
"Amodei, Mark",Nevada,2,0,0,1
"Lee, Susie",Nevada,3,0,0,1
"Horsford, Steven",Nevada,4,0,0,1
"Pappas, Chris",New Hampshire,1,0,0,1
"Kuster, Ann",New Hampshire,2,0,0,1
"Norcross, Donald",New Jersey,1,0,0,1
"Van Drew, Jefferson",New Jersey,2,0,0,1
"Kim, Andy",New Jersey,3,0,0,1
"Smith, Christopher",New Jersey,4,0,0,1
"Gottheimer, Josh",New Jersey,5,0,0,1
"Pallone, Frank",New Jersey,6,0,0,1
"Kean, Thomas",New Jersey,7,0,0,1
"Menendez, Robert",New Jersey,8,0,0,1
"Pascrell, Bill- Vacancy",New Jersey,9,0,0,1
"Payne, Donald M.- Vacancy",New Jersey,10,0,0,1
"Sherrill, Mikie",New Jersey,11,0,0,1
"Watson Coleman, Bonnie",New Jersey,12,0,0,1
"Stansbury, Melanie",New Mexico,1,0,0,1
"Vasquez, Gabe",New Mexico,2,0,0,1
"Leger Fernandez, Teresa",New Mexico,3,0,0,1
"LaLota, Nick",New York,1,0,0,1
"Garbarino, Andrew",New York,2,0,0,1
"Suozzi, Thomas R.",New York,3,0,0,1
"D'Esposito, Anthony",New York,4,0,0,1
"Meeks, Gregory",New York,5,0,0,1
"Meng, Grace",New York,6,0,0,1
"Velazquez, Nydia",New York,7,0,0,1
"Jeffries, Hakeem",New York,8,0,0,1
"Clarke, Yvette",New York,9,0,0,1
"Goldman, Daniel",New York,10,0,0,1
"Malliotakis, Nicole",New York,11,0,0,1
"Nadler, Jerrold",New York,12,0,0,1
"Espaillat, Adriano",New York,13,0,0,1
"Ocasio-Cortez, Alexandria",New York,14,0,0,1
"Torres, Ritchie",New York,15,0,0,1
"Bowman, Jamaal",New York,16,0,0,1
"Lawler, Michael",New York,17,0,0,1
"Ryan, Patrick",New York,18,0,0,1
"Molinaro, Marcus",New York,19,0,0,1
"Tonko, Paul",New York,20,0,0,1
"Stefanik, Elise",New York,21,0,0,1
"Williams, Brandon",New York,22,0,0,1
"Langworthy, Nicholas",New York,23,0,0,1
"Tenney, Claudia",New York,24,0,0,1
"Morelle, Joseph",New York,25,0,0,1
"Kennedy, Timothy",New York,26,0,0,1
"Davis, Donald",North Carolina,1,0,0,1
"Ross, Deborah",North Carolina,2,0,0,1
"Murphy, Gregory",North Carolina,3,0,0,1
"Foushee, Valerie",North Carolina,4,0,0,1
"Foxx, Virginia",North Carolina,5,0,0,1
"Manning, Kathy",North Carolina,6,0,0,1
"Rouzer, David",North Carolina,7,0,0,1
"Bishop, Dan",North Carolina,8,0,0,1
"Hudson, Richard",North Carolina,9,0,0,1
"McHenry, Patrick",North Carolina,10,0,0,1
"Edwards, Chuck",North Carolina,11,0,0,1
"Adams, Alma",North Carolina,12,0,0,1
"Nickel, Wiley",North Carolina,13,0,0,1
"Jackson, Jeff",North Carolina,14,0,0,1
"Armstrong, Kelly",North Dakota,0,0,0,1
"Landsman, Greg",Ohio,1,0,0,1
"Wenstrup, Brad",Ohio,2,0,0,1
"Beatty, Joyce",Ohio,3,0,0,1
"Jordan, Jim",Ohio,4,0,0,1
"Latta, Robert",Ohio,5,0,0,1
"Rulli, Michael A.",Ohio,6,0,0,1
"Miller, Max",Ohio,7,0,0,1
"Davidson, Warren",Ohio,8,0,0,1
"Kaptur, Marcy",Ohio,9,0,0,1
"Turner, Michael",Ohio,10,0,0,1
"Brown, Shontel",Ohio,11,0,0,1
"Balderson, Troy",Ohio,12,0,0,1
"Sykes, Emilia",Ohio,13,0,0,1
"Joyce, David",Ohio,14,0,0,1
"Carey, Mike",Ohio,15,0,0,1
"Hern, Kevin",Oklahoma,1,0,0,1
"Brecheen, Josh",Oklahoma,2,0,0,1
"Lucas, Frank",Oklahoma,3,0,0,1
"Cole, Tom",Oklahoma,4,0,0,1
"Bice, Stephanie",Oklahoma,5,0,0,1
"Bonamici, Suzanne",Oregon,1,0,0,1
"Bentz, Cliff",Oregon,2,0,0,1
"Blumenauer, Earl",Oregon,3,0,0,1
"Hoyle, Val",Oregon,4,0,0,1
"Chavez-DeRemer, Lori",Oregon,5,0,0,1
"Salinas, Andrea",Oregon,6,0,0,1
"Fitzpatrick, Brian",Pennsylvania,1,0,0,1
"Boyle, Brendan",Pennsylvania,2,0,0,1
"Evans, Dwight",Pennsylvania,3,0,0,1
"Dean, Madeleine",Pennsylvania,4,0,0,1
"Scanlon, Mary",Pennsylvania,5,0,0,1
"Houlahan, Chrissy",Pennsylvania,6,0,0,1
"Wild, Susan",Pennsylvania,7,0,0,1
"Cartwright, Matt",Pennsylvania,8,0,0,1
"Meuser, Daniel",Pennsylvania,9,0,0,1
"Perry, Scott",Pennsylvania,10,0,0,1
"Smucker, Lloyd",Pennsylvania,11,0,0,1
"Lee, Summer",Pennsylvania,12,0,0,1
"Joyce, John",Pennsylvania,13,0,0,1
"Reschenthaler, Guy",Pennsylvania,14,0,0,1
"Thompson, Glenn",Pennsylvania,15,0,0,1
"Kelly, Mike",Pennsylvania,16,0,0,1
"Deluzio, Christopher",Pennsylvania,17,0,0,1
"Amo, Gabe",Rhode Island,1,0,0,1
"Magaziner, Seth",Rhode Island,2,0,0,1
"Mace, Nancy",South Carolina,1,0,0,1
"Wilson, Joe",South Carolina,2,0,0,1
"Duncan, Jeff",South Carolina,3,0,0,1
"Timmons, William",South Carolina,4,0,0,1
"Norman, Ralph",South Carolina,5,0,0,1
"Clyburn, James",South Carolina,6,0,0,1
"Fry, Russell",South Carolina,7,0,0,1
"Johnson, Dusty",South Dakota,0,0,0,1
"Harshbarger, Diana",Tennessee,1,0,0,1
"Burchett, Tim",Tennessee,2,0,0,1
"Fleischmann, Charles",Tennessee,3,0,0,1
"DesJarlais, Scott",Tennessee,4,0,0,1
"Ogles, Andrew",Tennessee,5,0,0,1
"Rose, John",Tennessee,6,0,0,1
"Green, Mark",Tennessee,7,0,0,1
"Kustoff, David",Tennessee,8,0,0,1
"Cohen, Steve",Tennessee,9,0,0,1
"Moran, Nathaniel",Texas,1,0,0,1
"Crenshaw, Dan",Texas,2,0,0,1
"Self, Keith",Texas,3,0,0,1
"Fallon, Pat",Texas,4,0,0,1
"Gooden, Lance",Texas,5,0,0,1
"Ellzey, Jake",Texas,6,0,0,1
"Fletcher, Lizzie",Texas,7,0,0,1
"Luttrell, Morgan",Texas,8,0,0,1
"Green, Al",Texas,9,0,0,1
"McCaul, Michael",Texas,10,0,0,1
"Pfluger, August",Texas,11,0,0,1
"Granger, Kay",Texas,12,0,0,1
"Jackson, Ronny",Texas,13,0,0,1
"Weber, Randy",Texas,14,0,0,1
"De La Cruz, Monica",Texas,15,0,0,1
"Escobar, Veronica",Texas,16,0,0,1
"Sessions, Pete",Texas,17,0,0,1
"Jackson Lee, Sheila- Vacancy",Texas,18,0,0,1
"Arrington, Jodey",Texas,19,0,0,1
"Castro, Joaquin",Texas,20,0,0,1
"Roy, Chip",Texas,21,0,0,1
"Nehls, Troy",Texas,22,0,0,1
"Gonzales, Tony",Texas,23,0,0,1
"Van Duyne, Beth",Texas,24,0,0,1
"Williams, Roger",Texas,25,0,0,1
"Burgess, Michael",Texas,26,0,0,1
"Cloud, Michael",Texas,27,0,0,1
"Cuellar, Henry",Texas,28,0,0,1
"Garcia, Sylvia",Texas,29,0,0,1
"Crockett, Jasmine",Texas,30,0,0,1
"Carter, John",Texas,31,0,0,1
"Allred, Colin",Texas,32,0,0,1
"Veasey, Marc",Texas,33,0,0,1
"Gonzalez, Vicente",Texas,34,0,0,1
"Casar, Greg",Texas,35,0,0,1
"Babin, Brian",Texas,36,0,0,1
"Doggett, Lloyd",Texas,37,0,0,1
"Hunt, Wesley",Texas,38,0,0,1
"Moore, Blake",Utah,1,0,0,1
"Maloy, Celeste",Utah,2,0,0,1
"Curtis, John",Utah,3,0,0,1
"Owens, Burgess",Utah,4,0,0,1
"Balint, Becca",Vermont,0,0,0,1
"Wittman, Robert",Virginia,1,0,0,1
"Kiggans, Jennifer",Virginia,2,0,0,1
"Scott, Robert",Virginia,3,0,0,1
"McClellan, Jennifer",Virginia,4,0,0,1
"Good, Bob",Virginia,5,0,0,1
"Cline, Ben",Virginia,6,0,0,1
"Spanberger, Abigail",Virginia,7,0,0,1
"Beyer, Donald",Virginia,8,0,0,1
"Griffith, H.",Virginia,9,0,0,1
"Wexton, Jennifer",Virginia,10,0,0,1
"Connolly, Gerald",Virginia,11,0,0,1
"DelBene, Suzan",Washington,1,0,0,1
"Larsen, Rick",Washington,2,0,0,1
"Perez, Marie",Washington,3,0,0,1
"Newhouse, Dan",Washington,4,0,0,1
"Rodgers, Cathy",Washington,5,0,0,1
"Kilmer, Derek",Washington,6,0,0,1
"Jayapal, Pramila",Washington,7,0,0,1
"Schrier, Kim",Washington,8,0,0,1
"Smith, Adam",Washington,9,0,0,1
"Strickland, Marilyn",Washington,10,0,0,1
"Miller, Carol",West Virginia,1,0,0,1
"Mooney, Alexander",West Virginia,2,0,0,1
"Steil, Bryan",Wisconsin,1,0,0,1
"Pocan, Mark",Wisconsin,2,0,0,1
"Van Orden, Derrick",Wisconsin,3,0,0,1
"Moore, Gwen",Wisconsin,4,0,0,1
"Fitzgerald, Scott",Wisconsin,5,0,0,1
"Grothman, Glenn",Wisconsin,6,0,0,1
"Tiffany, Thomas",Wisconsin,7,0,0,1
"Gallagher, Mike- Vacancy",Wisconsin,8,0,0,1
"Hageman, Harriet",Wyoming,0,0,0,1
