Date,Series,Value
2024-09-07,Total Monitored Articles,125417
2024-09-08,Article Count,1155
2024-09-08,Total Monitored Articles,130729
2024-09-09,Article Count,2020
2024-09-09,Total Monitored Articles,163112
2024-09-10,Article Count,3590
2024-09-10,Total Monitored Articles,238194
2024-09-11,Article Count,6449
2024-09-11,Total Monitored Articles,179121
2024-09-12,Article Count,2658
2024-09-12,Total Monitored Articles,168826
2024-09-13,Article Count,3427
2024-09-13,Total Monitored Articles,205431
2024-09-14,Article Count,1553
2024-09-14,Total Monitored Articles,152195
2024-09-15,Article Count,1803
2024-09-15,Total Monitored Articles,124319
2024-09-16,Article Count,2991
2024-09-16,Total Monitored Articles,132386
2024-09-17,Article Count,2823
2024-09-17,Total Monitored Articles,163393
2024-09-18,Article Count,3558
2024-09-18,Total Monitored Articles,221249
2024-09-19,Article Count,2655
2024-09-19,Total Monitored Articles,188977
2024-09-20,Article Count,3663
2024-09-20,Total Monitored Articles,224012
2024-09-21,Article Count,2080
2024-09-21,Total Monitored Articles,148285
2024-09-22,Article Count,1540
2024-09-22,Total Monitored Articles,146046
2024-09-23,Article Count,2872
2024-09-23,Total Monitored Articles,195587
2024-09-24,Article Count,2879
2024-09-24,Total Monitored Articles,206128
2024-09-25,Article Count,2943
2024-09-25,Total Monitored Articles,192030
2024-09-26,Article Count,2176
2024-09-26,Total Monitored Articles,167629
2024-09-27,Article Count,1963
2024-09-27,Total Monitored Articles,158144
2024-09-28,Article Count,1554
2024-09-28,Total Monitored Articles,145281
2024-09-29,Article Count,1060
2024-09-29,Total Monitored Articles,151914
2024-09-30,Article Count,2177
2024-09-30,Total Monitored Articles,173071
2024-10-01,Article Count,2122
2024-10-01,Total Monitored Articles,175072
2024-10-02,Article Count,3249
2024-10-02,Total Monitored Articles,179072
2024-10-03,Article Count,2195
2024-10-03,Total Monitored Articles,166406
2024-10-04,Article Count,2498
2024-10-04,Total Monitored Articles,195619
2024-10-05,Article Count,1787
2024-10-05,Total Monitored Articles,141577
2024-10-06,Article Count,1182
2024-10-06,Total Monitored Articles,102314
2024-10-07,Article Count,2097
2024-10-07,Total Monitored Articles,177340
2024-10-08,Article Count,1945
2024-10-08,Total Monitored Articles,175297
2024-10-09,Article Count,1414
2024-10-09,Total Monitored Articles,132262
2024-10-10,Article Count,2015
2024-10-10,Total Monitored Articles,182778
2024-10-11,Article Count,2600
2024-10-11,Total Monitored Articles,169743
2024-10-12,Article Count,1896
2024-10-12,Total Monitored Articles,145992
2024-10-13,Article Count,2111
2024-10-13,Total Monitored Articles,138674
2024-10-14,Article Count,1893
2024-10-14,Total Monitored Articles,148714
2024-10-15,Article Count,2507
2024-10-15,Total Monitored Articles,194160
2024-10-16,Article Count,3447
2024-10-16,Total Monitored Articles,196216
2024-10-17,Article Count,2845
2024-10-17,Total Monitored Articles,199972
2024-10-18,Article Count,1935
2024-10-18,Total Monitored Articles,138084
2024-10-19,Article Count,1531
2024-10-19,Total Monitored Articles,103200
2024-10-20,Article Count,1616
2024-10-20,Total Monitored Articles,118865
2024-10-21,Article Count,2574
2024-10-21,Total Monitored Articles,173511
2024-10-22,Article Count,2839
2024-10-22,Total Monitored Articles,166549
2024-10-23,Article Count,3870
2024-10-23,Total Monitored Articles,189632
2024-10-24,Article Count,2520
2024-10-24,Total Monitored Articles,170851
2024-10-25,Article Count,3803
2024-10-25,Total Monitored Articles,175678
2024-10-26,Article Count,2220
2024-10-26,Total Monitored Articles,123994
2024-10-27,Article Count,2188
2024-10-27,Total Monitored Articles,131380
2024-10-28,Article Count,3683
2024-10-28,Total Monitored Articles,187408
2024-10-29,Article Count,3708
2024-10-29,Total Monitored Articles,178315
2024-10-30,Article Count,2903
2024-10-30,Total Monitored Articles,140337
2024-10-31,Article Count,3358
2024-10-31,Total Monitored Articles,179010
2024-11-01,Article Count,3696
2024-11-01,Total Monitored Articles,166175
2024-11-02,Article Count,2396
2024-11-02,Total Monitored Articles,103170
2024-11-03,Article Count,3138
2024-11-03,Total Monitored Articles,147260
2024-11-04,Article Count,3893
2024-11-04,Total Monitored Articles,182741
2024-11-05,Article Count,6113
2024-11-05,Total Monitored Articles,196357
2024-11-06,Article Count,9336
2024-11-06,Total Monitored Articles,160310
