Author,Full.Text
Trump,"Gathered here at our beautiful and majestic White House – known all over the world as the People’s House – we cannot help but marvel at the miracle that is our Great American Story. This has been the home of larger-than-life figures like Teddy Roosevelt and Andrew Jackson who rallied Americans to bold visions of a bigger and brighter future. Within these walls lived tenacious generals like Presidents Grant and Eisenhower who led our soldiers in the cause of freedom. From these grounds, Thomas Jefferson sent Lewis and Clark on a daring expedition to cross a wild and uncharted continent. In the depths of a bloody Civil War, President Abraham Lincoln looked out these very windows upon a half-completed Washington Monument – and asked God, in His Providence, to save our union. Two weeks after Pearl Harbor, Franklin Delano Roosevelt welcomed Winston Churchill, and just inside, they set our people on a course to victory in the Second World War."
Trump,"In recent months, our nation, and the entire planet, has been struck by a new and powerful invisible enemy. Like those brave Americans before us, we are meeting this challenge. We are delivering lifesaving therapies, and will produce a vaccine BEFORE the end of the year, or maybe even sooner! We will defeat THE VIRUS, end the pandemic, and emerge stronger than ever before."
Trump,"What united generations past was an unshakable confidence in America’s destiny, and an unbreakable faith in the American People. They knew that our country is blessed by God, and has a special purpose in this world. It is that conviction that inspired the formation of our union, our westward expansion, the abolition of slavery, the passage of civil rights, the space program, and the overthrow of fascism, tyranny and communism."
Trump,"This towering American spirit has prevailed over every challenge, and lifted us to the summit of human endeavor."
Trump,"And yet, despite all of our greatness as a nation, everything we have achieved is now endangered. This is the most important election in the history of our country. At no time before have voters faced a clearer choice between two parties, two visions, two philosophies, or two agendas."
Trump,"This election will decide whether we SAVE the American Dream, or whether we allow a socialist agenda to DEMOLISH our cherished destiny."
Trump,"It will decide whether we rapidly create millions of high paying jobs, or whether we crush our industries and send millions of these jobs overseas, as has foolishly been done for many decades."
Trump,"Your vote will decide whether we protect law abiding Americans, or whether we give free reign to violent anarchists, agitators, and criminals who threaten our citizens."
Trump,"And this election will decide whether we will defend the American Way of Life, or whether we allow a radical movement to completely dismantle and destroy it."
Trump,"At the Democrat National Convention, Joe Biden and his party repeatedly assailed America as a land of racial, economic, and social injustice. So tonight, I ask you a very simple question: How can the Democrat Party ask to lead our country when it spends so much time tearing down our country?"
Trump,"In the left’s backward view, they do not see America as the most free, just, and exceptional nation on earth. Instead, they see a wicked nation that must be punished for its sins."
Trump,Our opponents say that redemption for YOU can only come from giving power to THEM. This is a tired anthem spoken by every repressive movement throughout history.
Trump,"But in this country, we don’t look to career politicians for salvation. In America, we don’t turn to government to restore our souls – we put our faith in Almighty God."
Trump,"Joe Biden is not the savior of America’s soul – he is the destroyer of America’s Jobs, and if given the chance, he will be the destroyer of American Greatness."
Trump,"For 47 years, Joe Biden took the donations of blue collar workers, gave them hugs and even kisses, and told them he felt their pain – and then he flew back to Washington and voted to ship their jobs to China and many other distant lands. Joe Biden spent his entire career outsourcing the dreams of American Workers, offshoring their jobs, opening their borders, and sending their sons and daughters to fight in endless foreign wars."
Trump,"Four years ago, I ran for President because I could not watch this betrayal of our country any longer. I could not sit by as career politicians let other countries take advantage of us on trade, borders, foreign policy and national defense. Our NATO partners, as an example, were far behind in their defense payments. But at my strong urging, they agreed to pay $130 billion more a year. This will ultimately go to $400 billion. Secretary General Stoltenberg, who heads NATO, was amazed, and said that President Trump did what no one else was able to do."
Trump,"From the moment I left my former life behind, and a good life it was, I have done nothing but fight for YOU."
Trump,"I did what our political establishment never expected and could never forgive, breaking the cardinal rule of Washington Politics. I KEPT MY PROMISES."
Trump,"Together, we have ended the rule of the failed political class – and they are desperate to get their power back by any means necessary. They are angry at me because instead of putting THEM FIRST, I put AMERICA FIRST!"
Trump,"Days after taking office, we shocked the Washington Establishment and withdrew from the last Administration’s job-killing Trans Pacific Partnership. I then approved the Keystone XL and Dakota Access Pipelines, ended the unfair and costly Paris Climate Accord, and secured, for the first time, American Energy Independence. We passed record-setting tax and regulation cuts, at a rate nobody had ever seen before. Within three short years, we built the strongest economy in the history of the world."
Trump,"Washington insiders asked me NOT to stand up to China – they pleaded with me to let China continue stealing our jobs, ripping us off, and robbing our country blind. But I kept my word to the American People. We took the toughest, boldest, strongest, and hardest hitting action against China in American History."
Trump,"They said that it would be impossible to terminate and replace NAFTA – but again, they were wrong. Earlier this year, I ended the NAFTA nightmare and signed the brand new U.S. Mexico Canada Agreement into law. Now auto companies and others are building their plants and factories in America, not firing their employees and deserting us."
Trump,"In perhaps no area did the Washington special interests try harder to stop us than on my policy of pro-American immigration. But I refused to back down – and today America’s borders are more secure than EVER before. We ENDED catch-and-release, stopped asylum fraud, took down human traffickers who prey on women and children, and we have deported 20,000 Gang Members and 500,000 Criminal Aliens. We have already built 300 miles of Border Wall – and we are adding 10 new miles every single week. The Wall will soon be complete, and it is working beyond our wildest expectations."
Trump,"We are joined this evening by members of the Border Patrol union, representing our country’s courageous border agents. Thank you all."
Trump,"When I learned that the Tennessee Valley Authority laid off hundreds of American Workers and forced them to train their lower-paid foreign replacements, I promptly removed the Chairman of the Board. And now, those talented American Workers have been RE-HIRED and are back providing power to Georgia, Alabama, Tennessee, Kentucky, Mississippi, North Carolina, and Virginia. They have their old jobs back, and some are here with us this evening. Please stand."
Trump,"Last month, I took on Big Pharma and signed orders that will massively lower the cost of your prescription drugs, and to give critically ill patients access to lifesaving cures, we passed the decades long-awaited RIGHT TO TRY legislation. We also passed VA Accountability and VA Choice."
Trump,"By the end of my first term, we will have approved more than 300 federal judges, including two great new Supreme Court Justices. To bring prosperity to our forgotten inner cities, we worked hard to pass historic criminal justice reform, prison reform, opportunity zones, the long-term funding of historically black colleges and universities, and, before the China Virus came in, produced the best unemployment numbers for African-Americans, Hispanic-Americans, and Asian-Americans ever recorded. I have done more for the African-American community than any president since Abraham Lincoln, our first Republican president. I have done more in three years for the black community than Joe Biden has done in 47 years—and when I’m reelected, the best is yet to come!"
Trump,"When I took office, the Middle East was in total chaos. ISIS was rampaging, Iran was on the rise, and the war in Afghanistan had no end in sight. I withdrew from the terrible, one-sided Iran Nuclear Deal. Unlike many presidents before me, I kept my promise, recognized Israel’s true capital and moved our Embassy to Jerusalem. But not only did we talk about it as a future site, we got it built. Rather than spending $1 billion on a new building as planned, we took an already owned existing building in a better location, and opened it at a cost of less than $500,000. We also recognized Israeli sovereignty over the Golan Heights, and this month we achieved the first Middle East peace deal in 25 years. In addition, we obliterated 100 percent of the ISIS Caliphate, and killed its founder and leader Abu Bakr al-Baghdadi. Then, in a separate operation, we eliminated the world’s number one terrorist, Qasem Soleimani."
Trump,"Unlike previous administrations, I have kept America OUT of new wars – and our troops are coming home. We have spent nearly $2.5 trillion on completely rebuilding our military, which was very badly depleted when I took office. This includes three separate pay raises for our great warriors. We also launched the Space Force, the first new branch of the United States military since the Air Force was created almost 75 years ago."
Trump,We have spent the last four years reversing the damage Joe Biden inflicted over the last 47 years.
Trump,"Biden’s record is a shameful roll call of the most catastrophic betrayals and blunders in our lifetime. He has spent his entire career on the wrong side of history. Biden voted for the NAFTA disaster, the single worst trade deal ever enacted; he supported China’s entry into the World Trade Organization, one of the greatest economic disasters of all time. After those Biden calamities, the United States lost 1 in 4 manufacturing jobs. The laid off workers in Michigan, Ohio, New Hampshire, Pennsylvania, and many other states didn’t want Joe Biden’s hollow words of empathy, they wanted their jobs back!"
Trump,"As Vice President, he supported the Trans Pacific Partnership which would have been a death sentence for the U.S. Auto Industry; he backed the horrendous South Korea trade deal, which took many jobs from our country. He repeatedly supported mass amnesty for illegal immigrants. He voted FOR the Iraq War; he opposed the mission to take out Osama bin Laden; he opposed killing Soleimani; he oversaw the rise of ISIS, and cheered the rise of China as “a positive development” for America and the world. That’s why China supports Joe Biden and desperately wants him to win."
Trump,"China would own our country if Joe Biden got elected. Unlike Biden, I will hold them fully accountable for the tragedy they caused."
Trump,"In recent months, our nation, and the rest of the world, has been hit with a once-in-a-century pandemic that China allowed to spread around the globe. We are grateful to be joined tonight by several of our incredible nurses and first responders – please stand and accept our profound thanks. Many Americans have sadly lost friends and cherished loved ones to this horrible disease. As one nation, we mourn, we grieve, and we hold in our hearts forever the memories of all of those lives so tragically taken. In their honor, we will unite. In their memory, we will overcome."
Trump,"When the China Virus hit, we launched the largest national mobilization since World War II. Invoking the Defense Production Act, we produced the world’s largest supply of ventilators. Not a single American who has needed a ventilator has been denied a ventilator. We shipped hundreds of millions of masks, gloves and gowns to our front line healthcare workers. To protect our nation’s seniors, we rushed supplies, testing kits, and personnel to nursing homes and long term care facilities. The Army Corps of Engineers built field hospitals, and the Navy deployed our great hospital ships."
Trump,"We developed, from scratch, the largest and most advanced testing system in the world. America has tested more than every country in Europe put together, and more than every nation in the Western Hemisphere COMBINED. We have conducted 40 million more tests than the next closest nation."
Trump,"We developed a wide array of effective treatments, including a powerful anti-body treatment known as Convalescent Plasma that will save thousands of lives. Thanks to advances we have pioneered, the fatality rate has been reduced by 80 percent since April."
Trump,"The United States has among the lowest case fatality rates of any major country in the world. The European Union’s case fatality rate is nearly three times higher than ours. Altogether, the nations of Europe have experienced a 30 percent greater increase in excess mortality than the United States."
Trump,"We enacted the largest package of financial relief in American history. Thanks to our Paycheck Protection Program, we have saved or supported more than 50 million American jobs. As a result, we have seen the smallest economic contraction of any major western nation, and we are recovering much faster. Over the past three months, we have gained over 9 million jobs, a new record."
Trump,"Unfortunately, from the beginning, our opponents have shown themselves capable of nothing but a partisan ability to criticize. When I took bold action to issue a travel ban on China, Joe Biden called it hysterical and xenophobic. If we had listened to Joe, hundreds of thousands more Americans would have died."
Trump,"Instead of following the science, Joe Biden wants to inflict a painful shutdown on the entire country. His shutdown would inflict unthinkable and lasting harm on our nation’s children, families, and citizens of all backgrounds."
Trump,"The cost of the Biden shutdown would be measured in increased drug overdoses, depression, alcohol addiction, suicides, heart attacks, economic devastation and more. Joe Biden’s plan is not a solution to the virus, but rather a surrender."
Trump,"My Administration has a different approach. To save as many lives as possible, we are focusing on the science, the facts and the data. We are aggressively sheltering those at highest risk – especially the elderly – while allowing lower-risk Americans to safely return to work and school."
Trump,"Most importantly, we are marshalling America’s scientific genius to produce a vaccine in RECORD TIME. Under Operation Warp Speed, we have three different vaccines in the final stage of trials right now, years ahead of what has been achieved before. We are producing them in advance, so that hundreds of millions of doses will be quickly available."
Trump,"We will have a safe and effective vaccine this year, and together we will crush the virus."
Trump,"At the Democrat convention, you barely heard a word about their agenda. But that’s not because they don’t have one. It’s because their agenda is the most extreme set of proposals ever put forward by a major party nominee. Joe Biden may claim he is an “ally of the Light,” but when it comes to his agenda, Biden wants to keep you completely in the dark."
Trump,"He has pledged a $4 trillion tax hike on almost all American families, which will totally collapse our rapidly improving economy and once again record stock markets. On the other hand, just as I did in my first term, I will cut taxes even further for hardworking moms and dads, not raise them. We will also provide tax credits to bring jobs out of China BACK to America – and we will impose tariffs on any company that leaves America to produce jobs overseas. We’ll make sure our companies and jobs stay in our country, as I’ve already been doing. Joe Biden’s agenda is Made in China. My agenda is MADE IN THE USA."
Trump,"Biden has promised to abolish the production of American oil, coal, shale, and natural gas – laying waste to the economies of Pennsylvania, Ohio, Texas, North Dakota, Oklahoma, Colorado, and New Mexico. Millions of jobs will be lost, and energy prices will soar. These same policies led to crippling power outages in California just last week. How can Joe Biden claim to be an “ally of the Light” when his own party can’t even keep the lights on?"
Trump,"Joe Biden’s campaign has even published a 110-page policy platform co-authored with Far-Left Senator Bernie Sanders. The Biden-Bernie Manifesto calls for suspending ALL removals of illegal aliens, implementing nationwide Catch-and-Release; and providing illegal aliens with free taxpayer-funded lawyers. Joe Biden recently raised his hand on the debate stage and promised to give away YOUR healthcare dollars to illegal immigrants. He also supports deadly Sanctuary Cities that protect criminal aliens. He promised to end national security travel bans from Jihadist nations, and he pledged to increase refugee admissions by 700 percent. The Biden Plan would eliminate America’s borders in the middle of a global pandemic."
Trump,"Biden also vowed to oppose School Choice and close down Charter Schools, ripping away the ladder of opportunity for Black and Hispanic children."
Trump,"In a second term, I will EXPAND charter schools and provide SCHOOL CHOICE to every family in America. And we will always treat our teachers with the tremendous respect they deserve."
Trump,"Joe Biden claims he has empathy for the vulnerable – yet the party he leads supports the extreme late-term abortion of defenseless babies right up to the moment of BIRTH. Democrat leaders talk about moral decency, but they have no problem with stopping a baby’s beating heart in the 9th month of pregnancy."
Trump,"Democrat politicians refuse to protect innocent life, and then they lecture us about morality and saving America’s soul? Tonight, we proudly declare that all children, born and unborn, have a GOD-GIVEN RIGHT TO LIFE."
Trump,"During the Democrat Convention, the words “Under God” were removed from the Pledge of Allegiance – not once, but twice. The fact is, this is where they are coming from."
Trump,"If the left gains power, they will demolish the suburbs, confiscate your guns, and appoint justices who will wipe away your Second Amendment and other Constitutional freedoms."
Trump,"Biden is a Trojan horse for socialism. If Joe Biden doesn’t have the strength to stand up to wild-eyed Marxists like Bernie Sanders and his fellow radicals, then how is he ever going to stand up FOR you?"
Trump,"The most dangerous aspect of the Biden Platform is the attack on public safety. The Biden-Bernie Manifesto calls for Abolishing cash bail, immediately releasing 400,000 criminals onto your streets and into your neighborhoods."
Trump,"When asked if he supports cutting police funding, Joe Biden replied, “Yes, absolutely.” When Congresswoman Ilhan Omar called the Minneapolis police department a cancer that is “rotten to the root,” Biden wouldn’t disavow her support and reject her endorsement – he proudly displayed it on his website."
Trump,"Make no mistake, if you give power to Joe Biden, the radical left will Defund Police Departments all across America. They will pass federal legislation to reduce law enforcement nationwide. They will make every city look like Democrat-run Portland, Oregon. No one will be safe in Biden’s America."
